,date,close,open,high,low,volume,change,time_series,1MA,5MA,12MA,20MA,26MA,60MA,datetime
122,2020年6月30日,308.36,303.95,310.16,303.85,113.39,1.28,1593446400.0,308.36,312.38800000000003,315.54083333333335,318.6315000000001,320.73807692307696,331.08333333333337,2020-06-30
123,2020年7月1日,310.52,309.53,311.86,309.1,72.4,0.7,1593532800.0,310.52,313.952,316.65416666666664,319.46950000000004,321.73692307692306,331.33566666666667,2020-07-01
124,2020年7月2日,312.23,314.29,315.59,311.53,69.34,0.55,1593619200.0,312.23,314.724,317.8041666666667,320.14150000000006,322.661923076923,331.63916666666665,2020-07-02
125,2020年7月6日,317.05,316.4,317.24,315.59,61.71,1.54,1593964800.0,317.05,315.79599999999994,318.8691666666666,320.85600000000005,323.55961538461537,332.00516666666664,2020-07-06
126,2020年7月7日,313.78,315.38,317.52,313.37,82.91,-1.03,1594051200.0,313.78,315.354,319.68666666666667,321.443,324.1653846153846,332.2605,2020-07-07
127,2020年7月8日,316.18,314.62,316.27,312.7,54.64,0.76,1594137600.0,316.18,316.38199999999995,320.45166666666665,322.25699999999995,325.07538461538456,332.61233333333325,2020-07-08
128,2020年7月9日,314.38,316.87,317.09,310.73,83.35,-0.57,1594224000.0,314.38,317.51599999999996,320.84333333333336,323.05350000000004,325.86961538461543,332.96,2020-07-09
129,2020年7月10日,317.59,314.4,317.85,312.81,57.55,1.02,1594310400.0,317.59,318.79799999999994,321.58,324.051,326.73346153846154,333.2843333333333,2020-07-10
130,2020年7月13日,314.84,320.24,322.69,314.19,103.0,-0.87,1594569600.0,314.84,319.624,321.87833333333333,324.9,327.515,333.65383333333324,2020-07-13
131,2020年7月14日,318.92,313.29,319.28,312.05,93.66,1.3,1594656000.0,318.92,321.52,322.73499999999996,325.9364999999999,328.4303846153846,333.9886666666667,2020-07-14
132,2020年7月15日,321.85,322.61,323.01,319.29,87.2,0.92,1594742400.0,321.85,322.738,323.15500000000003,326.6305,329.13461538461536,334.35266666666666,2020-07-15
133,2020年7月16日,320.79,319.75,321.26,319.09,54.62,-0.33,1594828800.0,320.79,323.73999999999995,323.5441666666667,327.40999999999997,329.76653846153846,334.7181666666666,2020-07-16
134,2020年7月17日,321.72,321.88,322.57,319.73,62.78,0.29,1594915200.0,321.72,324.174,324.2108333333333,328.212,330.48538461538465,335.1525,2020-07-17
135,2020年7月20日,324.32,321.36,325.0,320.81,56.31,0.81,1595174400.0,324.32,324.006,324.9058333333333,328.968,331.3007692307692,335.6643333333332,2020-07-20
136,2020年7月21日,325.01,326.32,326.91,323.97,57.5,0.21,1595260800.0,325.01,323.786,325.555,329.6475,332.06230769230774,336.0945,2020-07-21
137,2020年7月22日,326.86,325.01,327.12,324.55,57.79,0.57,1595347200.0,326.86,323.01800000000003,326.33166666666665,330.32900000000006,332.93,336.4765,2020-07-22
138,2020年7月23日,322.96,326.42,327.22,321.52,75.74,-1.19,1595433600.0,322.96,322.66999999999996,326.9741666666667,330.8475,333.7557692307692,336.82050000000004,2020-07-23
139,2020年7月24日,320.88,320.73,321.99,319.28,73.77,-0.64,1595520000.0,320.88,322.87,328.02500000000003,331.6135,334.81807692307694,337.226,2020-07-24
140,2020年7月27日,323.22,321.45,323.39,320.8,48.29,0.73,1595779200.0,323.22,323.998,329.0183333333334,332.54350000000005,335.91153846153844,337.5781666666666,2020-07-27
141,2020年7月28日,321.17,323.22,323.64,320.87,57.49,-0.63,1595865600.0,321.17,325.11199999999997,330.2033333333334,333.5285,337.04153846153844,337.91416666666663,2020-07-28
